slice_idx,patient_has_et,slice_has_et,slice_has_tc,wt_pixels,tc_pixels,et_pixels,ed_pixels,rough_wt_dsc,rough_wt_hd95,rough_tc_dsc,rough_tc_hd95,rough_et_dsc,rough_et_hd95,rough_ed_dsc,rough_ed_hd95,morpho_wt_dsc,morpho_wt_hd95,morpho_tc_dsc,morpho_tc_hd95,morpho_et_dsc,morpho_et_hd95,morpho_ed_dsc,morpho_ed_hd95,rl_wt_dsc,rl_wt_hd95,rl_tc_dsc,rl_tc_hd95,rl_et_dsc,rl_et_hd95,rl_ed_dsc,rl_ed_hd95
38,True,True,True,191,106,106,85,0.7068,7.0,0.6752,6.03,0.6752,6.03,0.2389,7.13,0.7161,7.0,0.6928,5.29,0.6928,5.29,0.2386,7.18,0.7068,7.0,0.6752,6.03,0.6752,6.03,0.2389,7.13
39,True,True,True,128,57,57,71,0.6361,7.06,0.4872,7.42,0.4872,7.42,0.3226,7.43,0.6295,7.06,0.4872,7.42,0.4872,7.42,0.3145,7.43,0.6361,7.06,0.4872,7.42,0.4872,7.42,0.3226,7.43
40,True,True,True,93,20,20,73,0.5297,5.45,0.274,5.0,0.274,5.0,0.3819,6.0,0.5446,5.0,0.2857,4.25,0.2857,4.25,0.3938,5.04,0.5297,5.45,0.274,5.0,0.274,5.0,0.3819,6.0
41,True,True,True,55,2,2,53,0.3955,13.09,0.0161,16.95,0.0161,16.95,0.3886,13.14,0.4023,13.16,0.0165,16.4,0.0165,16.4,0.3953,13.2,0.3955,13.09,0.0161,16.95,0.0161,16.95,0.3886,13.14
42,True,False,False,35,0,0,35,0.2949,16.13,0.0,inf,0.0,inf,0.2949,16.13,0.3067,15.98,0.0,inf,0.0,inf,0.3067,15.98,0.2949,16.13,0.0,inf,0.0,inf,0.2949,16.13
43,True,False,False,35,0,0,35,0.4698,6.23,0.0,inf,0.0,inf,0.4698,6.23,0.4828,6.28,0.0,inf,0.0,inf,0.4828,6.28,0.4698,6.23,0.0,inf,0.0,inf,0.4698,6.23
44,True,False,False,88,0,0,88,0.7887,2.24,0.0,inf,0.0,inf,0.7887,2.24,0.7826,2.0,0.0,inf,0.0,inf,0.7826,2.0,0.7887,2.24,0.0,inf,0.0,inf,0.7887,2.24
45,True,False,False,75,0,0,75,0.6009,5.98,0.0,inf,0.0,inf,0.6009,5.98,0.5936,5.83,0.0,inf,0.0,inf,0.5936,5.83,0.6009,5.98,0.0,inf,0.0,inf,0.6009,5.98
46,True,False,False,84,0,0,84,0.5391,6.22,0.0,inf,0.0,inf,0.5391,6.22,0.5286,6.01,0.0,inf,0.0,inf,0.5286,6.01,0.5391,6.22,0.0,inf,0.0,inf,0.5391,6.22
47,True,False,False,76,0,0,76,0.5817,7.81,0.0,inf,0.0,inf,0.5817,7.81,0.5935,7.07,0.0,inf,0.0,inf,0.5935,7.07,0.5817,7.81,0.0,inf,0.0,inf,0.5817,7.81
48,True,False,False,86,0,0,86,0.6667,7.0,0.0,inf,0.0,inf,0.6667,7.0,0.6802,6.0,0.0,inf,0.0,inf,0.6802,6.0,0.6667,7.0,0.0,inf,0.0,inf,0.6667,7.0
49,True,False,False,81,0,0,81,0.6723,15.04,0.0,inf,0.0,inf,0.6723,15.04,0.7091,6.36,0.0,inf,0.0,inf,0.7091,6.36,0.6723,15.04,0.0,inf,0.0,inf,0.6723,15.04
